t/s	x/m	y/m
5,30	8,845	7,040
5,32	8,850	7,058
5,34	8,854	7,076
5,36	8,859	7,094
5,38	8,863	7,112
5,40	8,866	7,130
5,42	8,870	7,148
5,44	8,873	7,166
5,46	8,876	7,184
5,48	8,879	7,202
5,50	8,882	7,220
5,52	8,884	7,238
5,54	8,886	7,256
5,56	8,888	7,274
5,58	8,890	7,292
5,60	8,891	7,310
5,62	8,892	7,327
5,64	8,893	7,345
5,66	8,894	7,363
5,68	8,895	7,381
5,70	8,895	7,398
5,72	8,895	7,416
5,74	8,895	7,434
5,76	8,895	7,451
5,78	8,894	7,469
5,80	8,893	7,486
5,82	8,892	7,504
5,84	8,891	7,521
5,86	8,889	7,539
5,88	8,887	7,556
5,90	8,885	7,574
5,92	8,883	7,591
5,94	8,881	7,609
5,96	8,878	7,626
5,98	8,875	7,643
6,00	8,872	7,661
6,02	8,869	7,678
6,04	8,865	7,695
6,06	8,861	7,712
6,08	8,857	7,730
6,10	8,853	7,747
6,12	8,848	7,764
6,14	8,843	7,781
6,16	8,838	7,798
6,18	8,833	7,815
6,20	8,827	7,832
6,22	8,822	7,849
6,24	8,816	7,866
6,26	8,809	7,883
6,28	8,803	7,900
6,30	8,796	7,917
6,32	8,789	7,934
6,34	8,782	7,951
6,36	8,774	7,968
6,38	8,767	7,985
6,40	8,759	8,002
6,42	8,751	8,019
6,44	8,742	8,035
6,46	8,734	8,052
6,48	8,725	8,069
6,50	8,716	8,086
6,52	8,706	8,102
6,54	8,696	8,119
6,56	8,687	8,136
6,58	8,676	8,152
6,60	8,666	8,169
6,62	8,655	8,185
6,64	8,645	8,202
6,66	8,633	8,219
6,68	8,622	8,235
6,70	8,610	8,251
6,72	8,599	8,268
6,74	8,586	8,284
6,76	8,574	8,301
6,78	8,561	8,317
6,80	8,549	8,334
6,82	8,535	8,350
6,84	8,522	8,366
6,86	8,508	8,383
6,88	8,495	8,399
6,90	8,480	8,415
6,92	8,466	8,431
6,94	8,451	8,447
6,96	8,437	8,464
6,98	8,421	8,480
7,00	8,406	8,496
7,02	8,390	8,512
7,04	8,374	8,528
7,06	8,358	8,544
7,08	8,342	8,560
7,10	8,325	8,576
7,12	8,308	8,592
7,14	8,291	8,608
7,16	8,274	8,624
7,18	8,256	8,640
7,20	8,238	8,656
7,22	8,220	8,672
7,24	8,201	8,688
7,26	8,183	8,704
7,28	8,164	8,719
7,30	8,144	8,735
7,32	8,125	8,751
7,34	8,105	8,767
7,36	8,085	8,783
